City,Theme1,Theme2,Theme3,Theme4,Themes,Init_Class,Cluster_Class
Portland,0.542332776,0.54054172,0.578177675,0.520916031,0.546449664,0,2
Orlando,0.556857602,0.560100548,0.63285225,0.517641878,0.554560916,0,0
Cincinnati,0.584614523,0.539964872,0.579170468,0.511353413,0.558176919,0,2
Tampa,0.574511142,0.54568461,0.602353762,0.534715048,0.562897385,0,0
Seattle,0.584931537,0.564254927,0.589860527,0.520532039,0.566169635,0,2
Riverside,0.592465691,0.568430643,0.629793683,0.528204128,0.569234765,0,1
Minneapolis,0.577808537,0.52893305,0.604467533,0.534542885,0.570414278,0,0
Pittsburgh,0.585362432,0.567198739,0.581132311,0.506393247,0.574439945,0,2
Sacramento,0.586727266,0.541033407,0.641712018,0.528287418,0.579064344,0,0
Washington,0.587412208,0.546370464,0.594175051,0.555405543,0.58054077,0,0
Charlotte,0.591186908,0.56030055,0.572057057,0.537905105,0.58110151,1,2
LasVegas,0.586155555,0.527857582,0.606638327,0.537909757,0.582706341,1,0
SanFrancisco,0.597332696,0.560975712,0.626705202,0.539277864,0.582741212,1,1
Atlanta,0.615047815,0.580785476,0.591001395,0.529331147,0.583728518,1,1
Denver,0.596916541,0.524888019,0.613846605,0.544572662,0.590288871,1,0
Miami,0.595822832,0.538848741,0.677128764,0.547573909,0.590926816,1,1
Austin,0.597148297,0.556693476,0.599449809,0.566253225,0.591372582,1,0
SanDiego,0.604053846,0.531925159,0.623053669,0.534983684,0.595961617,1,0
StLouis,0.61669921,0.56930538,0.599533867,0.52134463,0.596412477,1,1
Houston,0.61162119,0.563149265,0.625157991,0.538416407,0.598420735,1,1
Dallas,0.611158708,0.575835285,0.622495633,0.527156988,0.599002139,2,1
Baltimore,0.614955734,0.553744628,0.590094994,0.517254107,0.599197859,2,2
Boston,0.60315349,0.561829395,0.652935804,0.553749592,0.604333313,2,1
SanAntonio,0.620038055,0.564820658,0.633085691,0.534062987,0.609542759,2,1
Philadelphia,0.622791677,0.569852119,0.599505454,0.52943137,0.611173625,2,1
LosAngeles,0.628668615,0.551776269,0.660044001,0.545612259,0.612381683,2,1
Phoenix,0.614387477,0.559507411,0.627260169,0.561580404,0.615500315,2,1
Chicago,0.636269832,0.591889451,0.616613374,0.544874384,0.617688599,2,1
Detroit,0.648900275,0.594601872,0.604450812,0.525416589,0.623464904,2,1
NewYork,0.627289881,0.55675135,0.652144139,0.596889125,0.634607627,2,1
