City,Theme1,Theme2,Theme3,Theme4,Themes,Init_Class,Cluster_Class
Portland,0.542332775769754,0.540541719939301,0.578177675377479,0.520916030768904,0.546449664464771,0,0
Orlando,0.55685760158193,0.560100547882714,0.632852250230522,0.51764187795259,0.554560916485038,0,1
Cincinnati,0.584614523430199,0.539964872178977,0.579170468178509,0.511353413011482,0.558176918872806,0,0
Tampa,0.574511141796776,0.545684609603607,0.602353762142081,0.534715048099549,0.562897384863691,0,0
Seattle,0.584931537298603,0.564254926767782,0.589860527115304,0.520532039468048,0.566169635337324,0,0
Riverside,0.592465690999597,0.568430642575232,0.629793683412268,0.52820412847432,0.569234764501241,0,1
Minneapolis,0.577808536732792,0.528933049547921,0.604467532641544,0.5345428850107,0.570414278375697,0,0
Pittsburgh,0.585362431659934,0.567198738877215,0.581132310585526,0.506393247313514,0.574439944756242,0,0
Sacramento,0.586727266272405,0.541033406575861,0.641712018040067,0.528287418420716,0.579064344400806,1,1
Washington,0.587412207668328,0.546370463549703,0.59417505113967,0.555405543264135,0.580540770211636,1,0
Charlotte,0.591186908159512,0.560300549659681,0.572057057105985,0.537905105014364,0.581101509638144,1,0
LasVegas,0.58615555499217,0.527857582424407,0.606638327095856,0.537909756627223,0.582706341011734,1,0
SanFrancisco,0.597332696481717,0.56097571226142,0.626705202490895,0.539277864034413,0.582741212079703,1,1
Atlanta,0.615047814948487,0.580785475923274,0.591001395143064,0.529331146777417,0.583728517748077,1,2
Denver,0.596916541171826,0.524888018843003,0.613846604677039,0.544572661933445,0.590288870982255,1,0
Miami,0.595822831552525,0.538848740808458,0.677128764469643,0.547573908771745,0.590926816265689,1,1
Austin,0.597148296921009,0.556693476171691,0.599449808639296,0.566253225481905,0.591372582266691,1,0
SanDiego,0.604053845621805,0.531925159183821,0.623053669196644,0.5349836835104,0.59596161742543,1,0
StLouis,0.616699210277592,0.569305379584303,0.599533866793029,0.521344630461089,0.596412477431039,1,2
Houston,0.611621190212317,0.563149265094644,0.625157990652574,0.538416406692728,0.598420735256726,1,1
Dallas,0.611158707797207,0.575835285312127,0.622495633475094,0.527156988200698,0.599002139488219,1,1
Baltimore,0.614955733923698,0.553744628083734,0.590094994088995,0.517254107359401,0.599197859089178,1,2
Boston,0.603153489624828,0.561829395068411,0.652935803830572,0.553749592341001,0.604333313291349,2,1
SanAntonio,0.620038055319129,0.564820657577211,0.633085691295034,0.534062986657898,0.6095427588638,2,1
Philadelphia,0.622791677018541,0.569852119069054,0.599505453501448,0.529431369816464,0.611173624725838,2,2
LosAngeles,0.628668614774081,0.551776268726314,0.660044001491554,0.545612259069028,0.612381682767294,2,1
Phoenix,0.614387476822051,0.559507410739936,0.627260169315343,0.561580404149289,0.615500314946959,2,1
Chicago,0.636269831904237,0.591889451299687,0.616613373895711,0.544874384333086,0.617688598790995,2,2
Detroit,0.648900274855426,0.594601872098993,0.604450811763125,0.525416589249967,0.623464903564125,2,2
NewYork,0.627289881186683,0.556751350141611,0.652144139225565,0.596889125455765,0.634607627326722,2,1
